LB,ObjCoeff,y_lp_sum,Dual,ylp,yint
55914.4,0.329485,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-4373.152344_-5555.429199_-4660.799805_-7013.859375_-1972.532471_-5441.077637_-5820.149902_-5710.280273_-5493.367676_-5132.132812_-9205.249023_-5600.632324_-2903.182617_-4253.738770_-3699.929932_-4373.152344_-4385.865234_-4660.799805_-5113.267578_-1557.26,1,1
55914.4,0.647805,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.65916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.84084,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.011355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.025742_0.049532_0.041630_0.045419_0.002229_0.002848_0.000000_0.000000_0.043324_0.000000_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-2.04E-13,0
55914.4,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.70458,0.500000_0.412979_0.206490_0.603245_0.801622_0.900811_0.938859_0.785792_0.892896_0.946448_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.372810_0.038284_0.000000_0.063708_,-2028.717651_-4662.640625_-2051.913086_-5563.041992_-2861.165039_-3694.240967_-1404.609619_-3182.141357_-2901.160400_-2699.763428_-10421.710938_-1943.221680_-1589.329956_-2591.684814_-2813.149170_-2666.916748_-3007.623779_-1898.500854_-4237.609863_-2984.0,0.0637082,1
55914.4,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.20458,0.500000_0.587021_0.793510_0.896755_0.810173_0.905086_0.952543_0.976272_0.988136_0.994068_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_0.999900_1.000000_1.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,1
55914.4,0.556775,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.627190_0.948486_1.000000_0.936292_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-140.747192_-255.027298_-125.874100_-283.600891_-137.464798_,0.936292,0
